History
"[60, 0, 60, 0, 60, 0, 60, 0, 50, 3, 40, 1, 50, 3, 51, 3, 52]"
"[40, 1, 41, 3, 31, 2, 32, 3, 22, 2, 12, 1, 22, 2, 12, 1, 13]"
"[70, 3, 60, 0, 60, 0, 50, 3, 40, 1, 50, 3, 51, 3, 52]"
"[63, 2, 64, 0, 63, 2, 64, 0, 74, 0, 64, 0, 54, 1, 53, 0, 52]"
"[24, 3, 14, 2, 15, 1, 25, 3, 15, 1, 16, 2, 17, 3, 18, 0, 28]"
"[70, 3, 60, 0, 60, 0, 60, 0, 50, 3, 40, 1, 50, 3, 51, 3, 52]"
"[40, 1, 41, 3, 31, 2, 32, 3, 22, 2, 23, 2, 33, 0, 23, 2, 13]"
"[51, 3, 50, 3, 50, 3, 40, 1, 50, 3, 40, 1, 50, 3, 51, 3, 52]"
"[40, 1, 50, 3, 51, 3, 50, 3, 40, 1, 40, 1, 41, 3, 31, 2, 21]"
"[50, 3, 40, 1, 41, 3, 40, 1, 50, 3, 40, 1, 41, 3, 31, 2, 21]"
"[50, 3, 40, 1, 41, 3, 31, 2, 32, 3, 31, 2, 32, 3, 31, 2, 21]"
"[50, 3, 40, 1, 50, 3, 40, 1, 50, 3, 40, 1, 41, 3, 31, 2, 21]"
"[73, 3, 63, 2, 64, 0, 54, 1, 55, 0, 54, 1, 55, 0, 45, 1, 46]"
"[50, 3, 40, 1, 50, 3, 40, 1, 41, 3, 40, 1, 41, 3, 31, 2, 21]"
"[25, 3, 15, 1, 25, 3, 24, 3, 23, 2, 24, 3, 14, 2, 4, 1, 5]"
"[60, 0, 60, 0, 50, 3, 40, 1, 50, 3, 51, 3, 41, 3, 31, 2, 21]"
"[50, 3, 50, 3, 40, 1, 50, 3, 40, 1, 40, 1, 41, 3, 31, 2, 21]"
"[60, 0, 50, 3, 40, 1, 50, 3, 40, 1, 50, 3, 50, 3, 51, 3, 52]"
"[70, 3, 60, 0, 50, 3, 51, 3, 52]"
"[4, 1, 14, 2, 15, 1, 25, 3, 15, 1, 25, 3, 15, 1, 16, 2, 6]"
"[60, 0, 50, 3, 40, 1, 41, 3, 31, 2, 32, 3, 22, 2, 23, 2, 13]"
"[4, 1, 14, 2, 15, 1, 16, 2, 17, 3, 18, 0, 17, 3, 18, 0, 28]"
"[64, 0, 54, 1, 64, 0, 63, 2, 53, 0, 43, 3, 33, 0, 43, 3, 42]"
"[32, 3, 22, 2, 23, 2, 24, 3, 23, 2, 24, 3, 14, 2, 4, 1, 5]"
"[51, 3, 41, 3, 31, 2, 32, 3, 22, 2, 23, 2, 24, 3, 23, 2, 13]"
"[15, 1, 14, 2, 24, 3, 14, 2, 15, 1, 16, 2, 17, 3, 18, 0, 28]"
"[50, 3, 40, 1, 50, 3, 40, 1, 40, 1, 50, 3, 40, 1, 41, 3, 42]"
"[60, 0, 50, 3, 50, 3, 40, 1, 50, 3, 51, 3, 41, 3, 31, 2, 21]"
"[70, 3, 60, 0, 60, 0, 60, 0, 50, 3, 51, 3, 52]"
"[40, 1, 50, 3, 40, 1, 41, 3, 31, 2, 41, 3, 40, 1, 41, 3, 42]"
"[50, 3, 40, 1, 50, 3, 40, 1, 40, 1, 50, 3, 51, 3, 41, 3, 42]"
"[50, 3, 40, 1, 40, 1, 41, 3, 40, 1, 50, 3, 51, 3, 41, 3, 42]"
"[70, 3, 60, 0, 60, 0, 60, 0, 50, 3, 51, 3, 41, 3, 31, 2, 21]"
"[70, 3, 60, 0, 70, 3, 60, 0, 50, 3, 40, 1, 41, 3, 31, 2, 21]"
"[50, 3, 40, 1, 50, 3, 40, 1, 50, 3, 50, 3, 51, 3, 41, 3, 42]"
"[50, 3, 51, 3, 41, 3, 40, 1, 50, 3, 50, 3, 40, 1, 41, 3, 42]"
"[50, 3, 50, 3, 40, 1, 50, 3, 50, 3, 50, 3, 50, 3, 51, 3, 52]"
"[40, 1, 40, 1, 50, 3, 40, 1, 50, 3, 50, 3, 40, 1, 41, 3, 42]"
"[40, 1, 50, 3, 40, 1, 40, 1, 50, 3, 40, 1, 50, 3, 51, 3, 52]"
"[72, 2, 73, 3, 74, 0, 73, 3, 63, 2, 64, 0, 54, 1, 55, 0, 65]"
"[50, 3, 40, 1, 50, 3, 40, 1, 40, 1, 50, 3, 50, 3, 51, 3, 52]"
"[31, 2, 32, 3, 22, 2, 23, 2, 24, 3, 14, 2, 15, 1, 16, 2, 6]"
"[70, 3, 60, 0, 50, 3, 40, 1, 40, 1, 40, 1, 41, 3, 42]"
"[40, 1, 40, 1, 50, 3, 50, 3, 51, 3, 50, 3, 51, 3, 41, 3, 42]"
"[70, 3, 60, 0, 60, 0, 50, 3, 40, 1, 41, 3, 42]"
"[40, 1, 41, 3, 31, 2, 32, 3, 22, 2, 23, 2, 24, 3, 23, 2, 13]"
"[24, 3, 14, 2, 15, 1, 16, 2, 26, 0, 36, 3, 26, 0, 16, 2, 6]"
"[81, 0, 71, 1, 70, 3, 60, 0, 50, 3, 50, 3, 51, 3, 41, 3, 42]"
"[50, 3, 40, 1, 50, 3, 40, 1, 50, 3, 40, 1, 50, 3, 51, 3, 52]"
"[63, 2, 64, 0, 63, 2, 73, 3, 63, 2, 73, 3, 63, 2, 53, 0, 52]"
"[31, 2, 32, 3, 31, 2, 32, 3, 31, 2, 41, 3, 31, 2, 41, 3, 42]"
"[40, 1, 41, 3, 31, 2, 32, 3, 33, 0, 43, 3, 33, 0, 43, 3, 44]"
"[31, 2, 41, 3, 31, 2, 32, 3, 31, 2, 41, 3, 40, 1, 41, 3, 42]"
"[70, 3, 70, 3, 60, 0, 50, 3, 50, 3, 40, 1, 41, 3, 31, 2, 21]"
"[25, 3, 15, 1, 25, 3, 26, 0, 25, 3, 24, 3, 14, 2, 4, 1, 5]"
"[31, 2, 32, 3, 31, 2, 41, 3, 31, 2, 32, 3, 22, 2, 23, 2, 13]"
"[40, 1, 50, 3, 50, 3, 40, 1, 50, 3, 40, 1, 40, 1, 41, 3, 42]"
