time/time_elapsed,rollout/ep_rew_mean,time/episodes,time/fps,rollout/ep_len_mean,time/total_timesteps,rollout/exploration_rate,train/n_updates,train/learning_rate,train/loss
0,-1.0,352,3275,5.3,1877,0.9910842500000004,,,
0,-1.0,356,3277,5.35,1900,0.9909749999999999,,,
0,-1.0,360,3277,5.42,1922,0.9908705000000001,,,
0,-1.0,364,3277,5.31,1936,0.9908040000000002,,,
0,-1.0,368,3278,5.38,1958,0.9906995000000005,,,
0,-1.0,372,3282,5.3,1986,0.9905664999999998,,,
0,-1.0,376,3284,5.27,2007,0.9904667499999996,,,
0,-1.0,380,3285,5.35,2033,0.9903432500000002,,,
0,-0.9811700000000001,384,3286,5.31,2058,0.9902245000000005,,,
0,-0.9811700000000001,388,3287,5.02,2075,0.9901437499999998,,,
0,-0.9811700000000001,392,3287,5.05,2092,0.9900630000000001,,,
0,-0.9811700000000001,396,3289,5.14,2122,0.9899205000000002,,,
0,-0.9811700000000001,400,3290,5.2,2140,0.9898349999999999,,,
0,-0.9811700000000001,404,3289,5.11,2159,0.98974475,,,
0,-0.9811700000000001,408,3287,5.06,2173,0.9896782500000001,,,
0,-0.9811700000000001,412,3288,5.15,2197,0.98956425,,,
0,-0.9811700000000001,416,3287,5.19,2214,0.9894835000000003,,,
0,-0.9811700000000001,420,3288,5.12,2236,0.9893790000000005,,,
0,-0.9811700000000001,424,3290,5.14,2265,0.9892412500000002,,,
0,-0.9811700000000001,428,3289,5.17,2281,0.9891652500000001,,,
0,-0.9811700000000001,432,3289,5.11,2299,0.9890797499999997,,,
0,-0.9811700000000001,436,3291,5.25,2330,0.9889325000000003,,,
0,-0.9811700000000001,440,3293,5.38,2351,0.98883275,,,
0,-0.9811700000000001,444,3293,5.4,2371,0.9887377500000005,,,
0,-0.9811700000000001,448,3293,5.3,2388,0.9886569999999998,,,
0,-0.9811700000000001,452,3293,5.31,2408,0.9885620000000002,,,
0,-0.9811700000000001,456,3292,5.25,2425,0.9884812500000005,,,
0,-0.9811700000000001,460,3292,5.24,2446,0.9883815000000002,,,
0,-0.9811700000000001,464,3292,5.27,2463,0.9883007499999995,,,
0,-0.9811700000000001,468,3291,5.14,2472,0.9882579999999999,,,
0,-0.9811700000000001,472,3290,5.03,2489,0.9881772500000001,,,
0,-0.9811700000000001,476,3289,5.0,2507,0.9880917499999998,,,
0,-0.9811700000000001,480,3279,4.91,2524,0.9880110000000002,,,
0,-1.0,484,3279,4.89,2547,0.9879017499999997,,,
0,-1.0,488,3278,4.87,2562,0.9878305000000003,,,
0,-1.0,492,3277,4.87,2579,0.9877497499999995,,,
0,-1.0,496,3277,4.73,2595,0.9876737500000005,,,
0,-1.0,500,3276,4.67,2607,0.9876167499999999,,,
0,-1.0,504,3276,4.63,2622,0.9875455000000004,,,
0,-1.0,508,3276,4.68,2641,0.9874552500000005,,,
0,-1.0,512,3276,4.66,2663,0.9873507499999996,,,
0,-0.98045,516,3277,4.7,2684,0.9872510000000004,,,
0,-0.98045,520,3277,4.68,2704,0.9871559999999998,,,
0,-0.98045,524,3277,4.57,2722,0.9870705000000005,,,
0,-0.98045,528,3276,4.57,2738,0.9869945000000004,,,
0,-0.98045,532,3276,4.56,2755,0.9869137499999997,,,
0,-0.98045,536,3275,4.4,2770,0.9868425000000003,,,
0,-0.98045,540,3277,4.43,2794,0.9867285000000002,,,
0,-0.98045,544,3278,4.5,2821,0.9866002500000002,,,
0,-0.98045,548,3277,4.46,2834,0.9865385,,,
0,-0.98045,552,3279,4.5,2858,0.9864244999999998,,,
0,-0.98045,556,3281,4.63,2888,0.986282,,,
0,-0.98045,560,3285,4.82,2928,0.9860919999999999,,,
0,-0.98045,564,3286,4.86,2949,0.9859922499999996,,,
0,-0.98045,568,3284,4.85,2957,0.9859542499999996,,,
0,-0.98045,572,3288,5.06,2995,0.9857737499999997,,,
0,-0.98045,576,3292,5.43,3050,0.9855125,,,
0,-0.98045,580,3291,5.42,3066,0.9854364999999999,,,
0,-0.98045,584,3293,5.48,3095,0.9852987499999997,,,
0,-0.98045,588,3295,5.56,3118,0.9851895000000003,,,
0,-0.98045,592,3296,5.66,3145,0.9850612500000002,,,
0,-0.98045,596,3295,5.65,3160,0.9849899999999998,,,
0,-0.98045,600,3295,5.75,3182,0.9848855,,,
0,-0.98045,604,3297,5.82,3204,0.9847810000000001,,,
0,-0.98045,608,3300,5.96,3237,0.9846242500000003,,,
0,-0.98045,612,3299,5.85,3248,0.9845720000000004,,,
0,-1.0,616,3300,5.94,3278,0.9844295000000005,,,
1,-1.0,620,3290,5.94,3298,0.9843344999999999,,,
1,-1.0,624,3293,6.1,3332,0.9841730000000005,,,
1,-1.0,628,3292,6.08,3346,0.9841064999999997,,,
1,-1.0,632,3293,6.11,3366,0.9840115000000001,,,
1,-1.0,636,3297,6.35,3405,0.9838262499999996,,,
1,-0.9810800000000001,640,3298,6.29,3423,0.9837407500000003,,,
1,-0.9810800000000001,644,3300,6.37,3458,0.9835745000000002,,,
1,-0.9810800000000001,648,3300,6.4,3474,0.9834985,,,
1,-0.9810800000000001,652,3299,6.31,3489,0.9834272499999996,,,
1,-0.96252,656,3302,6.3,3518,0.9832895000000005,,,
1,-0.96252,660,3301,6.0,3528,0.9832420000000002,,,
1,-0.96252,664,3303,6.05,3554,0.9831184999999998,,,
1,-0.96252,668,3303,6.13,3570,0.9830424999999996,,,
1,-0.96252,672,3305,6.04,3599,0.9829047500000004,,,
1,-0.96252,676,3304,5.64,3614,0.9828335,,,
1,-0.96252,680,3307,5.88,3654,0.9826434999999998,,,
1,-0.96252,684,3309,5.94,3689,0.9824772499999997,,,
1,-0.96252,688,3309,5.9,3708,0.9823869999999998,,,
1,-0.96252,692,3308,5.78,3723,0.9823157500000004,,,
1,-0.96252,696,3310,5.88,3748,0.9821969999999995,,,
1,-0.96252,700,3309,5.84,3766,0.9821115000000004,,,
1,-0.96252,704,3313,6.05,3809,0.9819072500000002,,,
1,-0.96252,708,3314,6.02,3839,0.9817647500000004,,,
1,-0.96252,712,3314,6.05,3853,0.9816982499999996,,,
1,-0.96252,716,3317,6.15,3893,0.9815082500000003,,,
1,-0.96252,720,3317,6.11,3909,0.9814322500000003,,,
1,-0.96252,724,3319,6.07,3939,0.9812897500000004,,,
1,-0.96252,728,3318,6.13,3959,0.9811947499999998,,,
1,-0.96252,732,3318,6.11,3977,0.9811092500000005,,,
1,-0.96252,736,3318,5.92,3997,0.9810142499999999,,,
1,-0.9814400000000001,740,3317,5.88,4011,0.9809477500000001,,,
1,-0.9814400000000001,744,3320,5.91,4049,0.9807672500000002,,,
1,-0.9814400000000001,748,3322,6.06,4080,0.9806199999999996,,,
1,-0.9814400000000001,752,3321,6.08,4097,0.98053925,,,
1,-1.0,756,3320,5.95,4113,0.9804632499999999,,,
1,-1.0,760,3320,6.13,4141,0.9803302500000003,,,
1,-1.0,764,3320,6.08,4162,0.9802305,,,
1,-1.0,768,3319,6.06,4176,0.9801640000000003,,,
1,-1.0,772,3319,5.94,4193,0.9800832500000005,,,
1,-1.0,776,3318,5.92,4206,0.9800215000000003,,,
1,-1.0,780,3317,5.62,4216,0.979974,,,
1,-1.0,784,3317,5.5,4239,0.9798647499999995,,,
1,-1.0,788,3321,5.76,4284,0.9796510000000003,,,
1,-1.0,792,3321,5.85,4308,0.9795370000000001,,,
1,-1.0,796,3322,5.81,4329,0.9794372499999999,,,
1,-1.0,800,3320,5.71,4337,0.9793992499999998,,,
1,-1.0,804,3322,5.63,4372,0.9792329999999998,,,
1,-1.0,808,3322,5.51,4390,0.9791475000000005,,,
1,-1.0,812,3321,5.48,4401,0.9790952499999995,,,
1,-1.0,816,3320,5.19,4412,0.9790429999999997,,,
1,-1.0,820,3321,5.3,4439,0.9789147499999996,,,
1,-1.0,824,3321,5.22,4461,0.9788102499999998,,,
1,-1.0,828,3320,5.12,4471,0.9787627500000006,,,
1,-1.0,832,3321,5.15,4492,0.9786630000000003,,,
1,-1.0,836,3322,5.18,4515,0.9785537499999998,,,
1,-1.0,840,3322,5.24,4535,0.9784587500000002,,,
1,-1.0,844,3322,5.03,4552,0.9783780000000005,,,
1,-1.0,848,3322,4.88,4568,0.9783020000000004,,,
1,-1.0,852,3320,4.78,4575,0.97826875,,,
1,-1.0,856,3319,4.68,4581,0.9782402500000003,,,
1,-1.0,860,3320,4.71,4612,0.9780929999999998,,,
1,-1.0,864,3320,4.69,4631,0.9780027499999998,,,
1,-1.0,868,3320,4.8,4656,0.9778840000000001,,,
1,-1.0,872,3319,4.77,4670,0.9778175000000002,,,
1,-1.0,876,3318,4.75,4681,0.9777652500000004,,,
1,-1.0,880,3318,4.9,4706,0.9776464999999995,,,
1,-1.0,884,3318,4.86,4725,0.9775562499999996,,,
1,-1.0,888,3311,4.58,4742,0.9774754999999999,,,
1,-1.0,892,3312,4.68,4776,0.9773140000000006,,,
1,-1.0,896,3313,4.75,4804,0.9771809999999999,,,
1,-1.0,900,3313,4.85,4822,0.9770954999999996,,,
1,-1.0,904,3314,4.79,4851,0.9769577500000003,,,
1,-1.0,908,3313,4.68,4858,0.9769244999999999,,,
1,-1.0,912,3314,4.79,4880,0.97682,,,
1,-1.0,916,3313,4.84,4896,0.976744,,,
1,-1.0,920,3315,4.92,4931,0.9765777499999999,,,
1,-1.0,924,3314,4.82,4943,0.9765207500000004,,,
1,-1.0,928,3314,4.88,4959,0.9764447500000003,,,
1,-1.0,932,3313,4.79,4971,0.9763877499999998,,,
1,-1.0,936,3314,4.84,4999,0.9762547500000001,,,
1,-1.0,940,3314,4.9,5025,0.9761312499999998,,,
1,-1.0,944,3315,4.99,5051,0.9760077500000004,,,
1,-1.0,948,3314,5.03,5071,0.9759127499999998,,,
1,-1.0,952,3314,5.15,5090,0.9758224999999998,,,
1,-1.0,956,3314,5.31,5112,0.975718,,,
1,-1.0,960,3314,5.21,5133,0.9756182499999998,,,
1,-1.0,964,3315,5.26,5157,0.9755042499999996,,,
1,-1.0,968,3314,5.15,5171,0.9754377499999999,,,
1,-1.0,972,3315,5.33,5203,0.9752857499999996,,,
1,-1.0,976,3317,5.56,5237,0.9751242500000004,,,
1,-1.0,980,3317,5.54,5260,0.9750149999999997,,,
1,-1.0,984,3317,5.55,5280,0.9749200000000002,,,
1,-1.0,988,3318,5.69,5311,0.9747727499999996,,,
1,-1.0,992,3319,5.62,5338,0.9746444999999997,,,
1,-1.0,996,3319,5.48,5352,0.9745779999999999,,,
1,-1.0,1000,3318,5.41,5363,0.97452575,,,
1,-1.0,1004,3315,5.2,5371,0.97448775,,,
1,-1.0,1008,3305,5.23,5381,0.9744402499999997,,,
1,-1.0,1012,3302,5.29,5409,0.9743072500000001,,,
1,-1.0,1016,3302,5.4,5436,0.974179,,,
1,-1.0,1020,3302,5.3,5461,0.9740602500000003,,,
1,-0.98099,1024,3302,5.48,5491,0.9739177500000005,,,
1,-0.98099,1028,3301,5.46,5505,0.9738512499999996,,,
1,-0.98099,1032,3301,5.79,5550,0.9736375000000003,,,
1,-0.98099,1036,3301,5.73,5572,0.9735330000000004,,,
1,-0.98099,1040,3301,5.74,5599,0.9734047500000005,,,
1,-0.98099,1044,3300,5.67,5618,0.9733145000000005,,,
1,-0.98099,1048,3299,5.65,5636,0.9732290000000001,,,
1,-0.98099,1052,3299,5.83,5673,0.9730532499999999,,,
1,-0.98099,1056,3291,5.94,5706,0.9728965,,,
1,-0.98099,1060,3291,5.98,5731,0.9727777500000003,,,
1,-0.98099,1064,3289,5.88,5745,0.9727112499999995,,,
1,-0.98099,1068,3290,6.1,5781,0.9725402499999998,,,
1,-0.98099,1072,3287,5.87,5790,0.9724975000000002,,,
1,-0.98099,1076,3286,5.72,5809,0.9724072500000003,,,
1,-0.98099,1080,3286,5.66,5826,0.9723264999999995,,,
1,-0.98099,1084,3285,5.66,5846,0.9722314999999999,,,
1,-0.98099,1088,3285,5.62,5873,0.97210325,,,
1,-0.98099,1092,3284,5.48,5886,0.9720414999999998,,,
1,-0.98099,1096,3283,5.61,5913,0.9719132499999997,,,
1,-0.98099,1100,3283,5.75,5938,0.9717945,,,
1,-0.98099,1104,3283,5.94,5965,0.97166625,,,
1,-0.98099,1108,3282,6.04,5985,0.9715712500000004,,,
1,-0.98099,1112,3282,5.99,6008,0.9714619999999999,,,
1,-0.98099,1116,3281,5.87,6023,0.9713907500000005,,,
1,-0.98099,1120,3280,5.74,6035,0.97133375,,,
1,-1.0,1124,3279,5.65,6056,0.9712339999999997,,,
1,-1.0,1128,3277,5.64,6069,0.9711722499999995,,,
1,-1.0,1132,3269,5.61,6111,0.9709727500000002,,,
1,-1.0,1136,3270,5.63,6135,0.97085875,,,
1,-1.0,1140,3271,5.67,6166,0.9707115000000005,,,
1,-1.0,1144,3271,5.68,6186,0.9706164999999999,,,
1,-1.0,1148,3271,5.6,6196,0.9705689999999996,,,
1,-0.9810800000000001,1152,3271,5.43,6216,0.9704740000000001,,,
1,-0.9810800000000001,1156,3272,5.4,6246,0.9703315000000001,,,
1,-0.9810800000000001,1160,3271,5.27,6258,0.9702744999999995,,,
1,-0.9810800000000001,1164,3272,5.46,6291,0.9701177499999998,,,
1,-0.9810800000000001,1168,3272,5.2,6301,0.9700702500000006,,,
1,-0.9810800000000001,1172,3271,5.19,6309,0.9700322500000005,,,
1,-0.9810800000000001,1176,3273,5.36,6345,0.9698612499999998,,,
1,-0.9810800000000001,1180,3273,5.36,6362,0.9697805000000002,,,
1,-0.9810800000000001,1184,3274,5.47,6393,0.9696332499999996,,,
1,-0.9810800000000001,1188,3274,5.33,6406,0.9695715000000005,,,
1,-0.9810800000000001,1192,3274,5.47,6433,0.9694432500000004,,,
1,-0.9810800000000001,1196,3273,5.27,6440,0.96941,,,
1,-0.9810800000000001,1200,3273,5.15,6453,0.9693482499999998,,,
1,-0.9810800000000001,1204,3272,4.98,6463,0.9693007499999995,,,
1,-0.9810800000000001,1208,3273,5.06,6491,0.9691677499999999,,,
1,-0.9810800000000001,1212,3274,5.07,6515,0.9690537499999998,,,
1,-0.9810800000000001,1216,3276,5.29,6552,0.9688780000000006,,,
