History,sample = 10,,time (sample = 10),action sparsity (sample = 10),mean predicate sparsity (sample = 10),sample = 100,,time (sample = 100),action sparsity (sample = 100),mean predicate sparsity (sample = 100),sample = 250,,time (sample = 250),action sparsity (sample = 250),mean predicate sparsity (sample = 250)
"[(23, 15, 29, 9, 10), 1, (22, 23, 29, 8, 10), 1, (23, 22, 19, 9, 10), 1, (31, 23, 46, 10, 10), 1, (39, 31, 46, 11, 10), 2, (39, 39, 29, 11, 10), 1, (39, 39, 29, 11, 10), 1, (47, 39, 54, 12, 10), 2, (47, 47, 46, 12, 10), 2, (39, 47, 46, 11, 10), 1, (38, 39, 29, 10, 10), 3, (30, 38, 29, 9, 10), 2, (22, 30, 29, 8, 10)]","[-0.0304, 0.0576, -0.0304, -0.0392, 0.02773, 0.03387, -0.02587, -0.02587, -0.006, 0.00773, 0.00773, -0.006, 0.06747, -0.2224, 0.35947, 0.26133]","[(None, 31, None, 11, None), (None, 39, None, 12, None), (38, None, None, None, None), 'specific_part']",0.7062074759996904,0.7272727272727273,0.8333333333333334,"[-0.0304, 0.0576, -0.0304, -0.0392, 0.02773, 0.03387, -0.02587, -0.02587, -0.006, 0.00773, 0.00773, -0.006, 0.06747, -0.2224, 0.35947, 0.26133]","[(None, 31, None, 11, None), (None, 39, None, 12, None), (38, None, None, None, None), 'specific_part']",0.6979602129995328,0.7272727272727273,0.8333333333333334,"[-0.0304, 0.0576, -0.0304, -0.0392, 0.02773, 0.03387, -0.02587, -0.02587, -0.006, 0.00773, 0.00773, -0.006, 0.06747, -0.2224, 0.35947, 0.26133]","[(None, 31, None, 11, None), (None, 39, None, 12, None), (38, None, None, None, None), 'specific_part']",0.7079222070005926,0.7272727272727273,0.8333333333333334
"[(22, 23, 29, 8, 10), 1, (23, 22, 19, 9, 10), 1, (31, 23, 46, 10, 10), 1, (39, 31, 46, 11, 10), 2, (39, 39, 29, 11, 10), 1, (39, 39, 29, 11, 10), 1, (47, 39, 54, 12, 10), 2, (47, 47, 46, 12, 10), 2, (39, 47, 46, 11, 10), 1, (38, 39, 29, 10, 10), 3, (30, 38, 29, 9, 10), 2, (22, 30, 29, 8, 10), 2, (30, 22, 46, 9, 10)]","[0.0576, -0.0304, -0.0392, 0.02773, 0.03387, -0.02587, -0.02587, -0.006, 0.00773, 0.00773, -0.006, -0.2224, 0.35947, 0.26133, 0.20427]","[(None, 31, None, 11, None), (None, 39, None, 12, None), (38, None, None, None, None), 'specific_part']",0.6989666589997796,0.7272727272727273,0.8333333333333334,"[0.0576, -0.0304, -0.0392, 0.02773, 0.03387, -0.02587, -0.02587, -0.006, 0.00773, 0.00773, -0.006, -0.2224, 0.35947, 0.26133, 0.20427]","[(None, 31, None, 11, None), (None, 39, None, 12, None), (38, None, None, None, None), 'specific_part']",0.6998204159990564,0.7272727272727273,0.8333333333333334,"[0.0576, -0.0304, -0.0392, 0.02773, 0.03387, -0.02587, -0.02587, -0.006, 0.00773, 0.00773, -0.006, -0.2224, 0.35947, 0.26133, 0.20427]","[(None, 31, None, 11, None), (None, 39, None, 12, None), (38, None, None, None, None), 'specific_part']",0.7739502160002303,0.7272727272727273,0.8333333333333334
"[(23, 22, 19, 9, 10), 1, (31, 23, 46, 10, 10), 1, (39, 31, 46, 11, 10), 2, (39, 39, 29, 11, 10), 1, (39, 39, 29, 11, 10), 1, (47, 39, 54, 12, 10), 2, (47, 47, 46, 12, 10), 2, (39, 47, 46, 11, 10), 1, (38, 39, 29, 10, 10), 3, (30, 38, 29, 9, 10), 2, (22, 30, 29, 8, 10), 2, (30, 22, 46, 9, 10), 2, (31, 30, 46, 10, 10)]","[-0.0304, -0.0392, 0.02773, 0.03387, -0.02587, -0.02587, -0.006, 0.00773, 0.00773, -0.006, 0.35947, 0.26133, 0.20427, 0.26133]","[(None, 31, None, 11, None), (None, 39, None, 12, None), (38, None, None, None, None), 'specific_part']",0.651788545999807,0.7272727272727273,0.8333333333333334,"[-0.0304, -0.0392, 0.02773, 0.03387, -0.02587, -0.02587, -0.006, 0.00773, 0.00773, -0.006, 0.35947, 0.26133, 0.20427, 0.26133]","[(None, 31, None, 11, None), (None, 39, None, 12, None), (38, None, None, None, None), 'specific_part']",0.6525744460013811,0.7272727272727273,0.8333333333333334,"[-0.0304, -0.0392, 0.02773, 0.03387, -0.02587, -0.02587, -0.006, 0.00773, 0.00773, -0.006, 0.35947, 0.26133, 0.20427, 0.26133]","[(None, 31, None, 11, None), (None, 39, None, 12, None), (38, None, None, None, None), 'specific_part']",0.6476722429997608,0.7272727272727273,0.8333333333333334
"[(31, 23, 46, 10, 10), 1, (39, 31, 46, 11, 10), 2, (39, 39, 29, 11, 10), 1, (39, 39, 29, 11, 10), 1, (47, 39, 54, 12, 10), 2, (47, 47, 46, 12, 10), 2, (39, 47, 46, 11, 10), 1, (38, 39, 29, 10, 10), 3, (30, 38, 29, 9, 10), 2, (22, 30, 29, 8, 10), 2, (30, 22, 46, 9, 10), 2, (31, 30, 46, 10, 10), 1, (39, 31, 29, 11, 10)]","[0.016, 0.08, -0.112, -0.112, -0.07573, 0.00267, 0.00267, -0.07573, 0.01013, 0.01013, -0.03387, 0.02, 0.26133, 0.20427, 0.26133, -0.16347]","[(None, 39, None, None, None), (None, None, None, 10, None), (30, None, None, None, None), 'specific_part']",0.8645632450006815,0.7272727272727273,1.0,"[0.016, 0.08, -0.112, -0.112, -0.0376, 0.00187, 0.00187, -0.0376, 0.01013, 0.01013, -0.03387, 0.02, 0.26133, 0.20427, 0.26133, -0.16347]","[(None, 39, None, None, None), (None, None, 29, 10, None), (30, None, None, None, None), 'specific_part']",1.242534353999872,0.7272727272727273,0.9166666666666666,"[0.016, 0.08, -0.112, -0.112, -0.0376, 0.00187, 0.00187, -0.0376, 0.01013, 0.01013, -0.03387, 0.02, 0.26133, 0.20427, 0.26133, -0.16347]","[(None, 39, None, None, None), (None, None, 29, 10, None), (30, None, None, None, None), 'specific_part']",1.2382674470009079,0.7272727272727273,0.9166666666666666
"[(39, 31, 46, 11, 10), 2, (39, 39, 29, 11, 10), 1, (39, 39, 29, 11, 10), 1, (47, 39, 54, 12, 10), 2, (47, 47, 46, 12, 10), 2, (39, 47, 46, 11, 10), 1, (38, 39, 29, 10, 10), 3, (30, 38, 29, 9, 10), 2, (22, 30, 29, 8, 10), 2, (30, 22, 46, 9, 10), 2, (31, 30, 46, 10, 10), 1, (39, 31, 29, 11, 10), 2, (39, 39, 29, 11, 10)]","[0.03387, -0.02587, -0.02587, -0.006, 0.00773, 0.00773, -0.006, -0.0008, -0.00187, 0.01, 0.00373, -0.01693, 0.01, 0.00433, 0.01333, 0.20427, 0.26133, -0.16347, -0.0912]","[(None, 39, None, 12, None), (38, None, None, None, None), (22, 30, 29, None, None), (None, None, 46, 9, None), 'specific_part']",0.9250635119988146,0.6363636363636364,0.75,"[0.03387, -0.02587, -0.02587, -0.006, 0.00773, 0.00773, -0.006, -0.0008, -0.00187, 0.01, 0.00373, -0.01693, 0.01, 0.00433, 0.01333, 0.20427, 0.26133, -0.16347, -0.0912]","[(None, 39, None, 12, None), (38, None, None, None, None), (22, 30, 29, None, None), (None, None, 46, 9, None), 'specific_part']",1.0704456310013484,0.6363636363636364,0.75,"[0.03387, -0.02587, -0.02587, -0.006, 0.00773, 0.00773, -0.006, -0.0008, -0.00187, 0.01, 0.00373, -0.01693, 0.01, 0.00433, 0.01333, 0.20427, 0.26133, -0.16347, -0.0912]","[(None, 39, None, 12, None), (38, None, None, None, None), (22, 30, 29, None, None), (None, None, 46, 9, None), 'specific_part']",1.1187019770004554,0.6363636363636364,0.75
"[(1, 0, 41, 1, 10), 2, (9, 1, 19, 2, 10), 2, (1, 9, 19, 1, 10), 2, (2, 1, 42, 2, 10), 2, (3, 2, 19, 3, 10), 1, (11, 3, 35, 4, 10), 3, (12, 11, 19, 5, 10), 2, (13, 12, 29, 6, 10), 2, (5, 13, 29, 5, 10), 1, (6, 5, 19, 6, 10), 2, (7, 6, 19, 7, 10), 1, (15, 7, 29, 8, 10), 1, (23, 15, 19, 9, 10)]","[-0.01227, 0.16187, 0.0912, 0.00013, 0.0128, 0.0368, -0.004, -0.04747, -0.01813, 0.13173, 0.17173, 0.14933, 0.12667]","[(9, None, 19, None, None), (None, None, None, 4, None), (6, 5, None, None, None), 'specific_part']",0.7916409810004552,0.7272727272727273,0.8333333333333334,"[-0.01227, 0.0396, 0.0108, -0.02067, -0.00067, 0.0368, -0.004, -0.04747, -0.01813, 0.13173, 0.17173, 0.14933, 0.12667]","[(9, None, 19, None, None), (None, None, 35, 4, None), (6, 5, None, None, None), 'specific_part']",0.9045706130000326,0.7272727272727273,0.75,"[-0.01227, 0.0396, 0.0108, -0.02067, -0.00067, 0.0368, -0.004, -0.04747, -0.01813, 0.13173, 0.17173, 0.14933, 0.12667]","[(9, None, 19, None, None), (None, None, 35, 4, None), (6, 5, None, None, None), 'specific_part']",0.9117782800003624,0.7272727272727273,0.75
"[(9, 1, 19, 2, 10), 2, (1, 9, 19, 1, 10), 2, (2, 1, 42, 2, 10), 2, (3, 2, 19, 3, 10), 1, (11, 3, 35, 4, 10), 3, (12, 11, 19, 5, 10), 2, (13, 12, 29, 6, 10), 2, (5, 13, 29, 5, 10), 1, (6, 5, 19, 6, 10), 2, (7, 6, 19, 7, 10), 1, (15, 7, 29, 8, 10), 1, (23, 15, 19, 9, 10), 1, (31, 23, 46, 10, 10)]","[0.16187, 0.0912, 0.00013, 0.0128, 0.0368, -0.004, -0.04747, -0.01813, 0.17173, 0.14933, 0.12667, -0.06107]","[(None, None, None, 4, None), (6, 5, None, None, None), 'specific_part']",0.6126323940006841,0.8181818181818181,0.875,"[0.0396, 0.0108, -0.02067, -0.00067, 0.0368, -0.004, -0.04747, -0.01813, 0.17173, 0.14933, 0.12667, -0.06107]","[(None, None, 35, 4, None), (6, 5, None, None, None), 'specific_part']",0.7506975819997024,0.8181818181818181,0.75,"[0.0396, 0.0108, -0.02067, -0.00067, 0.0368, -0.004, -0.04747, -0.01813, 0.17173, 0.14933, 0.12667, -0.06107]","[(None, None, 35, 4, None), (6, 5, None, None, None), 'specific_part']",0.7380405320000136,0.8181818181818181,0.75
"[(1, 9, 19, 1, 10), 2, (2, 1, 42, 2, 10), 2, (3, 2, 19, 3, 10), 1, (11, 3, 35, 4, 10), 3, (12, 11, 19, 5, 10), 2, (13, 12, 29, 6, 10), 2, (5, 13, 29, 5, 10), 1, (6, 5, 19, 6, 10), 2, (7, 6, 19, 7, 10), 1, (15, 7, 29, 8, 10), 1, (23, 15, 19, 9, 10), 1, (31, 23, 46, 10, 10), 1, (39, 31, 29, 11, 10)]","[0.04, 0.01427, -0.00333, 0.03307, 0.05547, 0.00747, -0.01813, -0.04853, 0.14933, 0.12667, -0.06107, -0.16347]","[(12, None, None, None, None), (None, 6, None, 7, None), 'specific_part']",0.6745898270000907,0.8181818181818181,0.875,"[0.04, 0.01427, -0.00333, 0.03307, 0.05547, 0.00747, -0.01813, -0.04853, 0.14933, 0.12667, -0.06107, -0.16347]","[(12, None, None, None, None), (None, 6, None, 7, None), 'specific_part']",0.6785120949989505,0.8181818181818181,0.875,"[0.04, 0.01427, -0.00333, 0.03307, 0.05547, 0.00747, -0.01813, -0.04853, 0.14933, 0.12667, -0.06107, -0.16347]","[(12, None, None, None, None), (None, 6, None, 7, None), 'specific_part']",0.68460900899845,0.8181818181818181,0.875
"[(2, 1, 42, 2, 10), 2, (3, 2, 19, 3, 10), 1, (11, 3, 35, 4, 10), 3, (12, 11, 19, 5, 10), 2, (13, 12, 29, 6, 10), 2, (5, 13, 29, 5, 10), 1, (6, 5, 19, 6, 10), 2, (7, 6, 19, 7, 10), 1, (15, 7, 29, 8, 10), 1, (23, 15, 19, 9, 10), 1, (31, 23, 46, 10, 10), 1, (39, 31, 29, 11, 10), 2, (39, 39, 46, 11, 10)]","[0.03787, -0.03333, 0.00827, -0.00187, 0.024, -0.08, -0.0368, -0.0464, 0.12667, -0.06107, -0.16347, -0.0912]","[(13, None, None, None, None), (None, 7, None, 8, None), 'specific_part']",0.6085179250003421,0.8181818181818181,0.875,"[0.03787, -0.03333, 0.00827, -0.00187, 0.024, -0.08, -0.0368, -0.0464, 0.12667, -0.06107, -0.16347, -0.0912]","[(13, None, None, None, None), (None, 7, None, 8, None), 'specific_part']",0.5985674030016526,0.8181818181818181,0.875,"[0.03787, -0.03333, 0.00827, -0.00187, 0.024, -0.08, -0.0368, -0.0464, 0.12667, -0.06107, -0.16347, -0.0912]","[(13, None, None, None, None), (None, 7, None, 8, None), 'specific_part']",0.6048629010001605,0.8181818181818181,0.875
"[(3, 2, 19, 3, 10), 1, (11, 3, 35, 4, 10), 3, (12, 11, 19, 5, 10), 2, (13, 12, 29, 6, 10), 2, (5, 13, 29, 5, 10), 1, (6, 5, 19, 6, 10), 2, (7, 6, 19, 7, 10), 1, (15, 7, 29, 8, 10), 1, (23, 15, 19, 9, 10), 1, (31, 23, 46, 10, 10), 1, (39, 31, 29, 11, 10), 2, (39, 39, 46, 11, 10), 2, (31, 39, 46, 10, 10)]","[0.00493, 0.0, -0.00053, -0.00013, 0.15413, 0.06613, 0.05653, -0.05653, -0.06107, -0.16347, -0.0912, -0.0912]","[(5, 13, 29, None, None), (None, None, None, 9, None), 'specific_part']",0.5973033620011847,0.8181818181818181,0.75,"[0.00493, 0.0, -0.00053, -0.00013, 0.068, 0.0336, -0.0032, -0.03867, -0.06107, -0.16347, -0.0912, -0.0912]","[(5, 13, 29, None, None), (None, None, 19, 9, None), 'specific_part']",1.189022828000816,0.8181818181818181,0.625,"[0.00493, 0.0, -0.00053, -0.00013, 0.068, 0.0336, -0.0032, -0.03867, -0.06107, -0.16347, -0.0912, -0.0912]","[(5, 13, 29, None, None), (None, None, 19, 9, None), 'specific_part']",1.1846704099989438,0.8181818181818181,0.625
